day,h1,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h2,h20,h21,h22,h23,h24,h3,h4,h5,h6,h7,h8,h9,month,year,"zone_id"
2,1381708,1543916,1473652,1415381,1344285,1313349,1293395,1281743,1345219,1454283,1547646,1380155,1555572,1531011,1461395,1398925,1309141,1404063,1438959,1495149,1584500,1726932,1762670,1650912,2,2015,
3,1271531,1453050,1442843,1423400,1412292,1353273,1307895,1286047,1312489,1410348,1493347,1252569,1489107,1436758,1361610,1285193,1195485,1244943,1250019,1275710,1335120,1440441,1468995,1453835,2,2015,
4,1166850,1390233,1301711,1262007,1217630,1180361,1160300,1156821,1197562,1318095,1453128,1157913,1455130,1452266,1406582,1351476,1285014,1158669,1165156,1208790,1302482,1449137,1523778,1484531,2,2015,
5,1253911,1478300,1430453,1397196,1373567,1339114,1330800,1341615,1375724,1460647,1546736,1250901,1533914,1496855,1431497,1363556,1263639,1268343,1282636,1330368,1413771,1593890,1625543,1526131,2,2015,
6,1218867,1370148,1350500,1316072,1266708,1277669,1251333,1241853,1274707,1349068,1418335,1197644,1370084,1347020,1285721,1228390,1146918,1194618,1185272,1211742,1262100,1331209,1377500,1367615,2,2015,
7,1085798,1326352,1296534,1247255,1226297,1197357,1179150,1188625,1232727,1321177,1388625,1060925,1385183,1371777,1334966,1316525,1260682,1053866,1068501,1085674,1097187,1162896,1233736,1294310,2,2015,
8,1226703,1450425,1382355,1326621,1272494,1228623,1166277,1156171,1177681,1247347,1376339,1207983,1411745,1410582,1387986,1348622,1290833,1212041,1227184,1249059,1270858,1332606,1407379,1455905,2,2015,
9,1249962,1444720,1399367,1336924,1274759,1258592,1238327,1245163,1294609,1380955,1456787,1249105,1433172,1390193,1322025,1246785,1152427,1279580,1284902,1330180,1417082,1585337,1617114,1520004,2,2015,
10,1112855,1309114,1237983,1191063,1134813,1108884,1068175,1072243,1101467,1209209,1338359,1099923,1345543,1340475,1295956,1219700,1130319,1100866,1122349,1168741,1251195,1416266,1467854,1376399,2,2015,
11,1096681,1328360,1273446,1223213,1175246,1141912,1108326,1100034,1149518,1262647,1401850,1086457,1418212,1408869,1377005,1311933,1212796,1095788,1117327,1158392,1242902,1418238,1480144,1391425,2,2015,
12,1162991,1389417,1344440,1290304,1256441,1232553,1211020,1203791,1222164,1306055,1417018,1158004,1424114,1408379,1353377,1289828,1203347,1169710,1186406,1220157,1273978,1446388,1499940,1432926,2,2015,
13,1209106,1357386,1286087,1230372,1187384,1145041,1115611,1109748,1129898,1209979,1321191,1208933,1334564,1326197,1305991,1278017,1211252,1200736,1219482,1260454,1348907,1505967,1552885,1441403,2,2015,
14,1171982,1430425,1390170,1304725,1252531,1204929,1178955,1180069,1211552,1264431,1320507,1149695,1291660,1281656,1260881,1230860,1178626,1150317,1152986,1189686,1205656,1269574,1350260,1415470,2,2015,
15,1131882,1366428,1327424,1295174,1273932,1241241,1223834,1220994,1249909,1350244,1476907,1119456,1491236,1486294,1459909,1424815,1367083,1122385,1140731,1159280,1180340,1233172,1304862,1368139,2,2015,
16,1339555,1646739,1568082,1497329,1427389,1371034,1328933,1307676,1333033,1439421,1595853,1334593,1628829,1608301,1559390,1501626,1434462,1346984,1387734,1442286,1520675,1669389,1741868,1690581,2,2015,
17,1409262,1548331,1489603,1439798,1397171,1364096,1351200,1372234,1428375,1515773,1600989,1413235,1602401,1549615,1496418,1420374,1332781,1424856,1438615,1470248,1535290,1687925,1727703,1650028,2,2015,
18,1300397,1458650,1405687,1360756,1313606,1240259,1185309,1175045,1266165,1376159,1504925,1303454,1525509,1500752,1431373,1357016,1257615,1305905,1329189,1374940,1462754,1623679,1673607,1566311,2,2015,
19,1226691,1326732,1258157,1201829,1151626,1099117,1085365,1065531,1088152,1160137,1301516,1211847,1318440,1302394,1265499,1217817,1145803,1214090,1226762,1257963,1324373,1499820,1517632,1398483,2,2015,
20,1105698,1265361,1213671,1166982,1113730,1074094,1051923,1044767,1058039,1125725,1229467,1111915,1216468,1183767,1142112,1085781,999552,1117257,1133425,1167023,1260401,1433166,1479199,1364688,2,2015,
21,962798,1196790,1187822,1149551,1125440,1100774,1079995,1082129,1116817,1181135,1263820,946678,1266125,1245098,1210820,1184656,1113672,929842,924521,937219,966226,1032900,1106505,1185600,2,2015,
22,1069653,1323369,1282860,1222032,1182613,1139847,1107839,1105246,1134862,1219363,1324110,1057078,1332043,1319423,1280531,1231857,1156466,1054846,1057666,1073189,1105903,1162108,1247034,1317463,2,2015,
23,1138445,1373890,1288097,1235594,1181770,1147411,1122645,1122997,1170669,1266816,1394033,1137433,1403083,1361539,1285418,1214881,1134272,1147154,1187488,1259458,1364608,1542025,1577972,1466312,2,2015,
24,1099949,1356024,1323519,1286845,1262459,1251495,1238630,1243954,1301041,1368690,1456164,1083838,1464612,1422084,1363029,1285528,1206001,1079426,1100132,1145769,1241194,1408983,1474684,1398651,2,2015,
25,1182639,1379114,1330315,1292679,1237555,1211016,1177418,1169653,1211046,1313105,1438243,1184942,1473047,1469532,1413424,1349930,1267997,1183458,1216112,1265553,1356873,1532686,1561067,1452223,2,2015,
26,1242026,1408707,1402579,1370958,1343229,1326470,1320410,1328623,1369138,1446524,1532067,1240472,1536055,1488054,1421950,1345951,1257309,1258801,1274408,1315134,1389665,1563288,1570904,1463064,2,2015,
27,1215469,1371666,1307030,1263351,1224521,1185090,1141990,1121513,1141919,1199041,1296290,1186609,1348120,1337524,1318600,1284108,1225333,1188973,1195695,1234884,1318921,1489528,1536706,1432642,2,2015,
28,1192993,1325138,1252104,1174283,1102312,1051163,995231,989173,994887,1042280,1166684,1182075,1191579,1180310,1169079,1146430,1094930,1188901,1206708,1228925,1263447,1327365,1393388,1391418,2,2015,
29,1067393,1248231,1146053,1078382,1027399,982339,949187,930457,972692,1034810,1141108,1056498,1174195,1163765,1118028,1057441,998161,1065355,1089439,1111725,1144495,1209391,1283254,1290853,2,2015,
1,963763,1189064,1163674,1124415,1080756,1056863,1028052,1020491,1032944,1080802,1210665,968909,1237090,1196108,1132469,1048818,940704,979683,1010327,1076425,1179364,1335178,1366693,1257829,3,2015,
2,896459,1077416,1070087,1044812,1031264,1021624,1006833,1002810,1021684,1078006,1176149,870310,1202783,1163505,1081326,990168,903541,856799,879004,908771,993634,1137220,1174030,1127720,3,2015,
3,855672,1082006,1050027,1023344,1008913,986948,977529,971089,995257,1051643,1157581,843771,1186298,1166943,1102027,1002058,913940,845079,862352,902130,1009652,1189675,1236926,1145047,3,2015,
4,860388,1050058,1049351,1026879,1008382,984098,970337,957011,978938,1022911,1136525,837512,1173472,1142862,1111039,1029230,928438,823760,830842,863019,937567,1083120,1144512,1083245,3,2015,
5,900462,1120343,1087610,1055926,1014023,1001573,982425,966998,977866,1000434,1086531,888013,1097195,1059962,1006598,957608,865288,883362,891277,925255,1002889,1172255,1223326,1157788,3,2015,
6,816909,1040842,1051308,1039109,1008921,962845,943324,947993,965445,999985,1063023,783360,1070328,1044159,1010818,960515,894831,763992,753971,752776,765970,822669,904656,987137,3,2015,
7,846741,1081396,1038974,994492,960355,935504,907727,905741,925867,1019871,1139609,822562,1152850,1128589,1075696,1017608,954121,812717,814653,830348,867821,925488,1020535,1079058,3,2015,
8,934329,1256917,1232808,1215332,1199401,1199747,1177686,1195958,1238439,1311649,1415332,927611,1450206,1417644,1349042,1250904,1163502,935130,953288,997625,1110555,1294817,1341740,1299990,3,2015,
9,1143131,1293405,1197925,1174311,1182789,1159030,1110478,1152066,1187870,1276039,1355022,1129323,1344751,1314888,1299762,1254423,1175933,1134042,1142286,1175288,1279512,1423534,1409918,1316998,3,2015,
10,1155070,1313066,1288856,1277716,1265506,1266362,1257215,1261286,1268564,1342889,1381848,1148594,1393499,1376787,1346000,1290590,1218850,1153605,1163796,1202357,1290610,1406945,1436657,1327067,3,2015,
11,1189151,1288157,1230287,1170878,1117837,1087133,1056943,1038334,1061745,1112743,1227172,1166100,1285908,1271430,1207878,1126384,1041498,1192242,1203059,1257437,1367328,1479780,1457559,1343168,3,2015,
12,1011044,1226263,1194290,1180056,1151418,1122181,1093782,1070232,1088878,1128962,1249080,998815,1282832,1270998,1243694,1200610,1146772,987358,998833,1035857,1151553,1321183,1345429,1270140,3,2015,
13,1041089,1264687,1208618,1145624,1069780,1023906,991284,969027,984631,1020663,1125419,1025693,1185627,1177288,1160278,1125239,1071685,1028847,1037723,1069635,1132105,1204903,1264265,1294719,3,2015,
14,1021500,1255735,1191787,1111871,1068237,1029756,987571,956829,979848,1040146,1109603,1022092,1159576,1117072,1052394,969211,887144,1025762,1033504,1054500,1079724,1133426,1202506,1263185,3,2015,
15,832354,1067775,1025792,999319,973558,959918,937851,907112,939750,985610,1105241,823682,1169206,1144984,1071778,982106,911800,820268,830414,872143,968188,1133907,1175413,1094567,3,2015,
16,875839,1254483,1261128,1256966,1249133,1241744,1234053,1242616,1284135,1337874,1391062,861123,1402830,1363671,1291781,1198601,1093201,864389,871312,914977,1031178,1203654,1285226,1256901,3,2015,
17,1052076,1258377,1212170,1180794,1178352,1184008,1175543,1186804,1239283,1303356,1368197,1044948,1392613,1365935,1291472,1215176,1117539,1037635,1043696,1069091,1172383,1337969,1380854,1322555,3,2015,
18,1084148,1229918,1166816,1126183,1085469,1069947,1041651,1049541,1091227,1151942,1263661,1079570,1294748,1266969,1204211,1108678,1005531,1084341,1088327,1137657,1230841,1341491,1348980,1285099,3,2015,
19,971267,1223841,1192961,1152918,1109350,1086121,1056090,1026844,1034862,1067329,1161229,950664,1218001,1211448,1189844,1153110,1090690,934455,940863,970050,1072912,1240802,1306555,1250560,3,2015,
20,1063024,1181148,1126256,1054273,1001062,970712,928387,909632,909189,930617,1013766,1059077,1050659,1018510,967844,902930,832522,1064974,1076297,1091907,1139764,1193147,1242851,1228733,3,2015,
21,782567,1090293,1077646,1057248,1051705,1033524,1011042,995030,1026152,1090577,1196672,744910,1263620,1254552,1208633,1141086,1068404,737480,729849,747897,788727,846755,941025,1047466,3,2015,
22,1060577,1292468,1293609,1272287,1227197,1208099,1176764,1165583,1187662,1259765,1368984,1069442,1408954,1389706,1356463,1306791,1230687,1076684,1104032,1155207,1268079,1392990,1390781,1334131,3,2015,
23,1205778,1285374,1228084,1186159,1132853,1082015,1059685,1033718,1047663,1097389,1232080,1216237,1310364,1307890,1243756,1177344,1094029,1230711,1249319,1308270,1410543,1524459,1469991,1347590,3,2015,
24,1058773,1145188,1082742,1038117,995949,970999,961110,958487,985855,1024014,1116908,1065757,1177330,1142051,1086035,982773,891855,1074330,1100905,1146676,1254220,1409492,1394356,1257678,3,2015,
25,868838,1046399,1004449,967998,945055,919806,891108,854348,867476,891776,959875,844779,1030104,1007735,929079,841372,741821,841528,851853,893473,989913,1129012,1169309,1100205,3,2015,
26,698099,959708,949852,936872,921686,922094,898189,877268,903474,933297,981015,690596,1027254,986053,936241,867584,776234,688281,716885,753646,846868,998540,1049399,986565,3,2015,
27,712898,953588,943266,926378,899687,864399,855138,854191,863405,879337,926851,685165,974619,933048,880656,816076,750300,670272,660332,671416,700969,758896,847809,923855,3,2015,
28,694422,954673,934028,905089,888734,867879,847943,837327,853442,889975,973131,666763,1059644,1033384,966370,904276,823206,649432,649897,661459,690344,740622,827794,934621,3,2015,
29,790936,1087806,1062276,1038206,1010141,986877,978685,964346,978867,1038870,1143557,779759,1216228,1196718,1131853,1026875,943014,783540,801439,851248,961127,1125244,1189471,1125361,3,2015,
30,911548,1108171,1102552,1082282,1050821,1034666,1022833,1029447,1086868,1163312,1255574,886027,1278488,1240809,1177094,1082450,986377,842661,866569,918886,992690,1146050,1211371,1146873,3,2015,
31,943396,1151276,1133154,1119513,1098449,1096597,1091541,1095131,1138789,1193725,1249866,922153,1262158,1217353,1147304,1051168,945138,923124,920509,942815,1030933,1187916,1245190,1182892,3,2015,
1,915717,1151024,1129403,1098515,1083047,1083294,1077039,1086081,1129292,1186562,1236952,888503,1280242,1255823,1197686,1113270,1017730,902129,903713,933812,1019012,1168444,1221152,1171455,4,2015,
2,967413,1200688,1181428,1145664,1122280,1102898,1110414,1103063,1142130,1180564,1211263,960275,1219249,1199718,1156913,1105302,1006195,955702,959514,999212,1082522,1236143,1285792,1230366,4,2015,
3,957464,1165185,1140691,1110443,1063852,999658,970614,954781,969702,1000577,1055027,937027,1103330,1082346,1044469,999226,928408,915596,916511,931073,960225,1012693,1080535,1150116,4,2015,
4,893291,1124834,1110921,1104417,1110780,1093123,1067126,1058502,1071330,1102276,1136114,875102,1215296,1302978,1272097,1213267,1114151,856046,848025,854022,867759,921163,1001551,1090541,4,2015,
5,1065129,1319673,1324912,1274504,1239235,1198325,1163326,1134833,1130722,1145118,1124755,1066243,1187573,1282766,1285260,1222468,1123262,1074855,1087414,1132854,1187802,1317215,1375946,1325237,4,2015,
6,1092679,1194235,1178332,1133488,1092839,1051064,1009530,988789,988464,1001486,1019290,1076348,1086597,1161414,1126990,1038779,940783,1079904,1094507,1137005,1214672,1321170,1314589,1232970,4,2015,
7,884786,1065138,1009981,982779,936506,924969,926615,913550,909928,944996,957053,871049,997553,1062897,1024872,927867,822527,868611,868358,902462,978720,1104389,1163621,1133798,4,2015,
8,823542,1122525,1113438,1081503,1055662,1046616,1024181,1005016,1001913,1037839,1075253,804644,1100340,1143206,1098210,1029064,917007,805220,819051,857641,943293,1081133,1141648,1124583,4,2015,
9,868469,1085520,1047915,1015362,971589,944920,915650,900428,898749,914959,917351,850601,943030,1035834,999167,960800,884414,852714,854135,886149,939570,1049973,1117053,1104011,4,2015,
10,837382,1089999,1061118,1000990,937765,913441,880063,868692,869426,902097,919335,822906,970728,1019902,977285,924443,845089,813629,808153,832372,858448,935506,1012476,1068042,4,2015,
11,799364,1117772,1115448,1103218,1101973,1085178,1053280,1039699,1027302,1047599,1070930,770469,1126983,1150333,1096138,1027812,950020,754364,760686,768905,800080,848964,941477,1043983,4,2015,
12,920881,1266309,1275253,1279192,1263709,1263632,1244241,1248150,1281520,1304992,1316632,899256,1341977,1324642,1233783,1157322,1034701,889582,853366,859935,940318,1072497,1167617,1225924,4,2015,
13,991193,1222063,1218949,1207499,1189072,1177648,1170695,1153713,1172626,1193853,1172989,963618,1183385,1216849,1161563,1074197,960360,951461,946290,975241,1043045,1195318,1260043,1241427,4,2015,
14,907950,1155204,1153604,1150739,1131403,1131323,1110430,1118761,1151247,1210339,1211007,877823,1264188,1289903,1232100,1144188,1036434,871185,885178,920210,991808,1134776,1195320,1163441,4,2015,
15,1002910,1131292,1132231,1106484,1073936,1036079,1016576,993950,978508,993646,1011767,987927,1059567,1159871,1123176,1034191,943896,977031,989067,1019693,1101532,1221071,1235123,1174087,4,2015,
16,903054,1108877,1059631,1026595,1001228,972701,963442,956923,948403,958581,965588,889635,985732,1059545,1043008,986256,888626,902522,923987,976502,1057976,1233339,1267152,1181476,4,2015,
17,831454,1015798,981180,947383,919482,905473,888898,896287,911286,921066,916924,802090,924976,994294,956889,879012,771215,796826,808486,821387,860075,922923,998935,1031115,4,2015,
18,692045,936141,935469,926210,939686,957874,961304,978110,1000914,1042269,1047284,671418,1075753,1154837,1094127,975095,849811,658578,646515,649750,659993,694106,782318,879861,4,2015,
19,777847,1036678,1056157,1073540,1084088,1105616,1130891,1118752,1103963,1142500,1153527,739864,1197336,1261002,1191481,1066550,933203,721081,709057,745616,818676,963335,1031502,1029366,4,2015,
20,857863,1038857,1045042,1075279,1076803,1094005,1114735,1098613,1101371,1113800,1107428,817515,1129151,1216965,1139495,1018349,897599,797303,780907,801062,863243,1002136,1044572,1038628,4,2015,
21,825778,1025462,1036939,1039322,1059490,1059953,1061445,1070889,1082998,1093875,1102150,787283,1126141,1178684,1118965,1005975,877255,768082,764011,781001,846912,995599,1051414,1044561,4,2015,
22,819240,1029831,1036921,1062805,1087212,1102269,1098067,1078126,1065703,1092198,1108142,788930,1130996,1183677,1126743,1012997,881945,779661,775339,792662,851031,992763,1052093,1031276,4,2015,
23,825161,1023136,1003914,1015613,1042021,1063395,1064440,1070439,1078300,1055779,1020431,782399,1013421,1035936,988189,905206,805272,778778,759989,767919,829182,977962,1041514,1006658,4,2015,
24,727430,971302,963287,947497,937552,936658,959277,970558,975625,986885,986516,688667,966284,1006936,980934,908919,806173,665602,663150,671142,694174,745563,857807,928545,4,2015,
25,733570,941970,953888,938001,926044,921702,897974,856758,869624,920575,979954,691339,1012667,1052877,998356,917546,821098,640433,626787,659252,683288,720455,797319,889684,4,2015,
26,769520,1018921,1026606,1023801,1003387,997373,989216,991661,1001355,999081,1020622,738349,1031322,1067356,1008258,927090,824024,722546,739280,762890,830624,972045,1030817,1012775,4,2015,
27,782874,1003995,994639,984567,976757,972223,969595,968371,977215,1021672,1052003,772093,1085199,1132504,1099207,1007324,908632,767189,763153,797221,883340,1036519,1092322,1082287,4,2015,
28,868510,1080548,1047949,1022735,988996,986765,971439,961046,962247,938529,988382,852283,1008890,1114504,1083790,966674,869919,850739,865481,912643,1002167,1175957,1202880,1127113,4,2015,
29,809504,1002756,991625,978152,990158,1000250,994925,998049,1011941,1022026,1011151,799672,1028474,1095448,1069938,955837,847669,803929,803279,838754,930312,1079095,1111712,1043787,4,2015,
30,763556,963862,953564,949078,957167,964757,949554,953019,963924,960917,954288,730569,953000,993604,975071,900021,809766,699150,700685,717878,795463,921550,970158,952817,4,2015,
1,748691,918299,934173,938246,930914,928526,929304,941368,948134,951226,946699,713061,943466,996371,964131,886908,806049,690793,679093,681668,702654,740472,812505,885328,5,2015,
2,741245,940160,956011,959454,972788,984540,982291,1011920,1030562,1046669,1042738,701930,1039274,1084643,1019892,909000,810109,679754,671593,662080,659253,673536,764925,864329,5,2015,
3,731112,995189,983508,989848,986534,968511,974258,970211,1003302,1043770,1084305,698401,1096451,1135930,1098588,1006448,902139,681209,678317,715280,783017,947354,1010226,998816,5,2015,
4,858731,1040926,1018895,987595,973489,971595,963517,929795,947238,980543,988922,834260,1004191,1096301,1078160,967247,861779,825283,827075,865052,958618,1127405,1163014,1094283,5,2015,
5,831691,991403,967063,929174,920782,914132,915257,920439,942617,958116,976382,818492,994069,1097539,1072101,961917,848427,811546,822159,846166,928786,1026503,1073946,1015160,5,2015,
6,790124,1003749,998602,991766,995052,1007205,1018318,1032663,1053480,1065261,1068731,764498,1072309,1133966,1099095,988116,870688,754926,759480,781707,870790,1021318,1067961,1021146,5,2015,
7,796005,1033493,1060784,1081052,1094789,1137663,1143577,1147464,1156224,1127672,1115794,766648,1097622,1138051,1109789,1019892,898976,746306,747725,771467,835902,969353,1037815,1015475,5,2015,
8,825812,963750,963625,936257,923138,921136,919632,943361,953689,962399,948185,774495,941380,977341,970177,896056,798769,739523,718292,717955,738338,771544,856960,936020,5,2015,
9,725659,945375,962794,978311,993310,1019579,1039880,1076526,1112410,1136215,1128993,688563,1126678,1166539,1134987,1013066,891100,668526,659818,658716,677571,707006,791393,888417,5,2015,
10,812733,1082791,1129751,1173787,1222982,1267659,1324186,1277025,1268675,1299468,1317581,763798,1288493,1340758,1307747,1153712,1006806,733070,724545,740968,816455,946420,1035028,1043824,5,2015,
11,920722,1153079,1184712,1230981,1265048,1301771,1326308,1337803,1332265,1351831,1354943,884474,1349653,1382279,1314030,1172909,1019955,853253,832897,848621,918654,1054086,1133242,1120932,5,2015,
12,926566,1143494,1213241,1246878,1297688,1346072,1372645,1369529,1369426,1374382,1367163,871590,1344365,1381418,1319199,1178716,1027982,851245,828543,845625,901162,1037916,1121855,1130222,5,2015,
13,934376,1183732,1243835,1294016,1298303,1303729,1377716,1383609,1379024,1390303,1377998,881196,1353672,1384088,1332712,1206347,1040187,852357,838559,844920,902003,1031910,1149037,1182160,5,2015,
14,964676,1196397,1251004,1310052,1345530,1390529,1407407,1357687,1304599,1282124,1305261,911275,1245343,1241338,1218442,1111267,973345,873965,857098,865850,915935,1038497,1135296,1145988,5,2015,
15,867014,1075929,1130728,1187707,1226961,1276908,1295343,1297387,1339604,1353196,1292734,825257,1234179,1200352,1135202,1030504,907397,786468,775011,754620,774524,811272,919542,1008508,5,2015,
16,810111,1010112,1066613,1119302,1156839,1160223,1146814,1159944,1187681,1210938,1197886,760770,1158339,1171329,1126911,1006393,876980,731175,705790,696021,696813,718975,811422,927299,5,2015,
17,804748,1066097,1139228,1187865,1242711,1282651,1298981,1300674,1297134,1297722,1299849,758421,1269338,1287140,1235785,1103930,963599,737777,732320,757046,826823,960046,1027344,1021050,5,2015,
18,886455,1096656,1155763,1198480,1243971,1284374,1291348,1294616,1328630,1332130,1319524,836309,1285950,1273567,1213071,1086451,951209,805523,793838,800598,865597,993834,1082504,1087875,5,2015,
19,868362,1081207,1113554,1137314,1150890,1165106,1161394,1176481,1197923,1216368,1217400,829498,1196216,1197401,1163880,1047829,909457,803343,786495,807220,876745,1004284,1079615,1070142,5,2015,
20,843450,1042327,1055018,1053090,1061619,1076143,1085877,1096277,1130464,1140863,1137405,800588,1138505,1163604,1156907,1046937,912359,781719,764975,786292,855106,981211,1044305,1030417,5,2015,
